match_id,participant_id,teamId,puuid,champion,lane,win,gold_10,xp_10,cs_10,goldEarned,gold_diff_@10min
KR_7575698937,6,200,veVKEoOLFt2owOL4_-Y3BbQh5AOYe0ncC499EsFji_kAfUmLH1s2BUjejqPNdUDwXPaM3TsYmaPd3g,Sett,TOP,0,3139,4065,74,10100,-2676
KR_7575698937,7,200,hRmWO2CXVkAqXyjYGp8K45AGgpRHVuL3uTNThN3G1FsLtjo-Y-oFmym8s2Rffvfuun2lNlw4LcECew,Corki,MIDDLE,0,3121,4163,70,11028,-2676
KR_7575698937,8,200,yslFehRqoBWhAPY_y1br503t4-97jaVI4ro-VmLlOz4K60BhAOF9kGMDn-P52rgIP88t2vSCUdCwkA,Ekko,JUNGLE,0,3894,3167,54,12296,-2676
KR_7575698937,9,200,zfMbw_tdr0lXX6cVxxbPxFqwWQWkex0O783BkiZtGQIpzHiJQ3J3g3ba-SmPFYhRyySFmA9HGMcoUg,Singed,BOTTOM,0,2599,2242,39,9140,-2676
KR_7575698937,10,200,-j-n6pbFnO_Likdhi7D8pM_coVwMkVNLIGXpsLWT5XszKpjMPwSkoxhNvPfrZAjDvQrS_JUvkYmGww,Leona,UTILITY,0,2450,1885,11,7005,-2676
KR_7575843026,1,100,TmXzM_weKQ2zFt6kgn35XyQRelCE-0th3gTsoz99ECs_SU7mbC_VUTTbRjRcMRMCYZR2hzGGgIkkuw,Aatrox,TOP,1,2633,3719,53,9655,2482
KR_7575843026,2,100,5LsyLZsOEPy_9SS2hLSRxzMKwj6tKP0MKCK62Cby-70qbQQ1lQ2lKS2ASnER4F4GNUSx32eRd-yuLg,Vi,JUNGLE,1,3543,3544,58,13296,2482
KR_7575843026,3,100,WFKd5GI3mgLJOYyGojwT5ecFs3M0nsMvRXXjR0Y1U9_EmxKE0wu1VluRaZjSUZ3u8VtNCfp4BvOYXg,Ahri,MIDDLE,1,3360,4380,72,10543,2482
KR_7575843026,4,100,Wv4_CMO2Nes5eD-Yqoch2y2Xg8Qt-BjnlTN87arAI53XyUBpjmhv6ndLv-KLuEYn9FqztRdQmpwhsg,Draven,BOTTOM,1,4611,2846,83,17815,2482
KR_7575843026,5,100,HR02NDNnNPkSSfL6siDizH7XS0WiHqEujqM9zMNTKg3tPyd_hV8rCv8ocjshRwF3MZjwxtPxca-ZSg,Thresh,UTILITY,1,2576,2720,15,8373,2482
KR_7575843026,6,200,CLjZf90EO0HdL6Ip81p_jkPN8XoAc5BEm6EnrQS2Xt1BL2a3L9wHGiJHpg0i895E58oHLwQa4s4rTQ,Urgot,TOP,0,3192,4201,62,12887,-2482
KR_7575843026,7,200,qTVoef4N_wAzAgmJnij8b05cM-7WPtCK2oe7gWfXdX8sJXA73DoY5B5EGuOl-8Chh3qOYQMKnVimkw,JarvanIV,JUNGLE,0,3402,3291,58,8996,-2482
KR_7575843026,8,200,AyQ5Q_fGufn69HdWuMy6rEdFF3orL8UuIVgrpHqP2jRZMvg_-_u1au-TRVQl8D9bSsE4FYHEabMoBQ,Sylas,MIDDLE,0,3413,4298,71,10761,-2482
KR_7575843026,9,200,q_kf4ZZTqcK7moh2trOZR_NkWcTzcRdi3I46eLf4gkR7Nm_FbCAYJXCTsGd_2DCGAnkR5c9bWoCs-w,Jhin,BOTTOM,0,2432,2841,50,10297,-2482
