match_id,participant_id,teamId,puuid,champion,lane,gold_10_diff,cs_10_diff,lane_cs_10_diff,jungle_cs_10_diff,xp_10_diff,solo_kills_15_diff,team_damage_pct_diff,damage_to_turrets_diff,vision_score_per_min_diff,total_damage_taken_diff,kill_participation_diff,kills_diff
KR_7557352530,2,100,S2uQKn2hH2v7wp-Qw2AG6AdBYxxWdRtbqHPsquww50oqEZu3FehVFArPdc_ZZD7LgLVLS_jtNMQvEA,Graves,JUNGLE,-276,-73,-73,69,-1225,0,-0.20674744302336062,-11306,0.502680710278111,-27023,-0.0625,-3
KR_7557352530,6,200,TmXzM_weKQ2zFt6kgn35XyQRelCE-0th3gTsoz99ECs_SU7mbC_VUTTbRjRcMRMCYZR2hzGGgIkkuw,Camille,TOP,-1767,50,50,-72,-369,0,0.028979744296255328,18406,-1.026102372352629,1691,-0.17073170731707316,2
KR_7557352530,7,200,HjAXU8PILLp2L0LhscP2skNrV571gTrhsfDAQ1Xdm8NB4PpuTL5ytIw2m46w00bNef1p3tnCDmXsIA,LeeSin,TOP,1767,-50,-50,72,369,0,-0.028979744296255328,-18406,1.026102372352629,-1691,0.17073170731707316,-2
KR_7557478442,1,100,JZ2Cd3NW46NqtcgXivYk2SH409AoHuY6hMv4_DGZnzP6s6UfzXmYl_q_ylLpuSqQdF4yrJq0RPCdWA,Rumble,TOP,-23,-1,-1,0,-76,0,0.06528475713936652,-4357,-0.7010068865410071,-988,0.29259259259259257,2
KR_7557478442,6,200,AdVgsRd4kj4ypXX7QGq9IWFMSl60fFQC99ofbE5uxNVifKrUuVI1iFsceVXib_j2HBEHu8V0Uw4jXw,Ryze,TOP,23,1,1,0,76,0,-0.06528475713936652,4357,0.7010068865410071,988,-0.29259259259259257,-2
KR_7557557077,1,100,x0h7xFKtrsBodAiTMn0aJ32UtKHXQO1_wE2z_D7oqzx1VwWtUkjC0UIr5_mj03mwmMzGVbIzFny6_w,Jayce,TOP,-966,-5,-5,0,-737,0,0.02899624874548848,1343,-0.13831551898873684,-5766,-0.02083333333333337,-7
KR_7557557077,6,200,ZJ73TuyurEawfD2OswxvMhUsxePokstsQbrHPdHg2XDJxyErS7yik45SPTmWtjZPA1ZF4xjocCE82Q,Irelia,TOP,966,5,5,0,737,0,-0.02899624874548848,-1343,0.13831551898873684,5766,0.02083333333333337,7
KR_7557672285,2,100,cZfP-kZMLAufG07RFWBTCk6GUUAIcCQocatpNifhEy0CUHdoN3NR3jQDuLHJsbAimXLaQKQk41ieNQ,Nocturne,JUNGLE,-513,3,3,-1,26,0,0.0320038988807107,-619,-0.9255855302053819,4906,0.25296442687747045,4
KR_7557672285,7,200,M06DGcGofamqBAOtTiVKAB9yTh73c5eyXPTccRqjx6EkOmeD2I2wB129W4rrVwcYzOFAmjI7Eh558w,LeeSin,JUNGLE,513,-3,-3,1,-26,0,-0.0320038988807107,619,0.9255855302053819,-4906,-0.25296442687747045,-4
KR_7557672285,3,100,2ksbTJDdSkkeSznXm-gHeVedeG6JHVKsQZM9bfbWycWblee1Fp3wBL4zfsJ4PB4pBeJvuMMyEegevQ,Orianna,MIDDLE,248,23,23,0,321,0,-0.013096267300324288,2564,0.748981356435721,-454,0.11264822134387353,-1
KR_7557672285,8,200,z6GTsMQYqrBXp_OBqhrMZwZM-0MDW4FZiwXg6Z_--Fzx76aQFaycSJpuJax2hnQsFyyd1d7i4E9S6w,Taliyah,MIDDLE,-248,-23,-23,0,-321,0,0.013096267300324288,-2564,-0.748981356435721,454,-0.11264822134387353,1
KR_7557672285,1,100,lli1QsRkzeUXjOyPMRQF6sdjrBNsgFzXrhfGFXRSJwcOGqZZy3_yVwnO7G0hJ4m5-s7iGzfO8ngWsQ,Pantheon,TOP,110,14,14,0,-151,0,0.021085113589869475,-5833,0.021662941310031436,-10049,-0.07114624505928852,-2
KR_7557672285,6,200,ZEnu9XOMeFNU7Z0guxmwjHLC2ech40MB2C_D6S91-1BtOQmyOU4ZJd_YYV2FGk-5Xfz2D92SdiVRJw,DrMundo,TOP,-110,-14,-14,0,151,0,-0.021085113589869475,5833,-0.021662941310031436,10049,0.07114624505928852,2
KR_7557818132,9,200,L56PWrLM4Fa1xENo4GS_qCGTB3n5E-mywGf9KvUD0DEuq3JNLGYb5bBWV6vZaeUTr99fq9LjfntMVg,Ezreal,BOTTOM,744,60,60,0,832,0,0.22200706941969783,809,-0.811012308370811,10646,-0.08333333333333326,3
KR_7557818132,10,200,a15s7AyxSJTvotYSm59mHheJV8qbbnURTvC2AmIC-GCQVQvRNlIoiwFbxHGESOh2qZCvfTHLSpj6nw,Yuumi,BOTTOM,-744,-60,-60,0,-832,0,-0.22200706941969783,-809,0.811012308370811,-10646,0.08333333333333326,-3
KR_7557992576,1,100,iTauGf0tzgKOgNDZfc-5suo0N5zo5-swuWpQRdXutw5dItAKPN29qbf0XlB9kFKJdtg1CC6JQqe62w,Rumble,TOP,-194,-10,-10,2,-110,0,0.13990109820469018,-7783,-0.08593558813245483,-15911,0.09411764705882358,3
KR_7557992576,6,200,zKPTWy8KIDx9SG7bAMsXCWaDN_LAdJj4bpd6WOgWvgrm5qefmNFwV39kuwsvFn8L6VocOrykNXQ_Ew,Tryndamere,TOP,194,10,10,-2,110,0,-0.13990109820469018,7783,0.08593558813245483,15911,-0.09411764705882358,-3
KR_7558101490,1,100,Jb0dsvR1HUVfx8UM5jmyxoqgSlsiwR_wH2FQJ_TZBOXXfCtKl0oH5VcPn_o2ds-G4pDnHuY3CQDfPA,Aatrox,TOP,943,28,28,0,1205,0,0.2884172211445471,-1441,0.3637782582289373,4417,0.18,3
KR_7558101490,6,200,GzAk3n3ZWHFow6RIHZllWH8KxSBzgd2MwSff2nY0kIy5D87nTiWNtKby91-fz232x4yTE4r-yDPJjA,Sion,TOP,-943,-28,-28,0,-1205,0,-0.2884172211445471,1441,-0.3637782582289373,-4417,-0.18,-3
KR_7558174670,2,100,T98jpQ1_ARC4H1CfSt8CrJlIp25G9krksJt80Ne6PeGrwZp_VdFtL6rH3FxwLDxyH-poMo_kiKYTuQ,LeeSin,JUNGLE,-246,1,1,-7,-399,0,-0.08492066549188011,-375,0.10172743342312862,1400,0.10875000000000001,-4
