match_id,participant_id,teamId,puuid,champion,lane,Ct_raw,Ct_norm,win
KR_7568732692,2,100,Ob3ybx-kURZ5PWEq8P1CBzdJhE1rPg5N1xkDJ06Z3iOKcy52gwYhkVqKKD-hA8OzFro5dIE3hTX4EQ,Vi,JUNGLE,12373.42882250275,1.8006030195487188,
KR_7568732692,7,200,Wegn95wO3GxJ3PK6IWyL63PGvbdpQoVcffra0-vgrc7cFyQkdnESN60OcN_6QeHyJIHzwxuc6uEWUA,Sejuani,JUNGLE,-12373.42882250275,-1.8006030195487188,
KR_7568818075,2,100,VOMkrFdii0o9enYqaxiU6Ui2pvZtTmLuxBZYU1egr-kBSqzniv75ctDzwMk40kqJUR-iTulXjEn3Aw,Vi,JUNGLE,-7905.644594197391,-1.1504432386520616,
KR_7568818075,7,200,fzoXlPCIO9glk7sY0mFWunK5BLgD62E4XUiYzfmP2sOX5Rc_OD2bC9TfN9P7JrU4t9QHXdn8o8sDyQ,Viego,JUNGLE,7905.644594197391,1.1504432386520616,
KR_7569042487,2,100,Zhqh-BCYW1GA7KXccPHmZ83u_JOIJDSruB0CbG9UgaBL9ecdNLcdYzjyM27BXV99dRPFjKTmKXXNeg,MonkeyKing,JUNGLE,7057.431575714176,1.0270097955692663,
KR_7569042487,7,200,D_ogqZdx8VVfKeR76LFNGM_SuU_wbur8XUewCF_j3ppmEXz02mLVnRoU5DVQZKgUlx5jKwX46hD8Tw,Vi,JUNGLE,-7057.431575714176,-1.0270097955692663,
KR_7569042487,3,100,Jp1U9jN8WfF_2heEwLSVyqcao_4MNJAdX2wvgVJZAlf5X0t07xzsn-fSB17-wzScIkuKnQRJ0EdDJA,Sylas,MIDDLE,11855.401476029225,1.725218773383041,
KR_7569042487,8,200,mgId0EChGQslqd7J4N-ohdd21uX-HW41lognRZKm3cBz3FcUVOV7ZbsORLCpcD89o99Yl6H_xznykw,Ahri,MIDDLE,-11855.401476029225,-1.725218773383041,
KR_7569042487,1,100,aw2-LufZthUZJXdGKMnY8vXpCb0KjMq-zTTtJ1HPCzlMC29WvEo_AMAnaMzUKVyXALNXyxCzx-toPw,Ambessa,TOP,-955.8640402580621,-0.13909900819379947,
KR_7569042487,6,200,LLmyOk3emRjO1RZyKdHtA1ThXi3CtbVeyTeNHkjNC7KCyb9hOytfFgOM2qoFN2YnmkuPnOIrGF-lDA,Renekton,TOP,955.8640402580621,0.13909900819379947,
KR_7569249207,3,100,0qzRCZvqKj3W6E5xp6cOXqFgwMzkoeY_Rv9UnpNS-M7S_0Qt_WDtaP4dFfx99_u3usa6g6SvrpTwTw,Katarina,MIDDLE,4207.570514407952,0.612293025796442,
KR_7569249207,8,200,cL3LZNtoAaIu4aMIgWXaUTjH2bfrKWhcwZIKZW40I9TXlYdQKAS376MhQsOoZQPgb7tXw-kX69Lusg,Aurora,MIDDLE,-4207.570514407952,-0.612293025796442,
KR_7569438125,2,100,_NPmcnxJmF6a6sAcSIeZn4cAEJymo5b6sJ6qPSqQXzcLq7GWJTdSwvOoCIuV3MRXIF_S1B12mTIOLw,Vi,JUNGLE,-8589.838123130641,-1.2500082785310977,
KR_7569438125,7,200,xNWix_PWXYrjrSIQwoRlLeYyekW140nGjn5_JGQAlmVoCmF4hieqZnd9UBTcrelkRhMwBBocDshMSQ,Rengar,JUNGLE,8589.838123130641,1.2500082785310977,
KR_7569438125,1,100,ctkbtmpmtDOokibP-r48Krdzy8-3ArFswwGgnpALV-WK_a9EUuGJd01XyqzaLa8ptl42RQV3ddLEhQ,Rumble,TOP,-9171.42522340446,-1.3346418513188714,
KR_7569438125,6,200,3F3Ni5G6lQ1meiS6EgHmwqDIQeiuVAQC0Dt5px_Kc7TxHzhkHP2VMv5QFxdLkm5y5qPJQKuVxa-NmQ,KSante,TOP,9171.42522340446,1.3346418513188714,
