match_id,participant_id,puuid,teamId,champion,individualPosition,lane,role,kills,deaths,assists,kda,kill_participation,damage_to_turrets,damage_to_buildings,vision_score_per_min,team_damage_pct,gold_earned,gold_spent,champ_experience,total_damage_taken,gold_10,cs_10,lane_cs_10,jungle_cs_10,xp_10,solo_kills_15,gold_10_diff,cs_10_diff,lane_cs_10_diff,jungle_cs_10_diff,xp_10_diff,solo_kills_15_diff,team_damage_pct_diff,damage_to_turrets_diff,vision_score_per_min_diff,total_damage_taken_diff,kill_participation_diff,kills_diff,win
KR_7589245963,10,qxAgk2ccVWHYmpky-goc2btBPeFj8--jj5lYFXglytsdaUY7R_hp9faYH1C_CFajb791qEObUBLeAA,200,Kennen,UTILITY,BOTTOM,SUPPORT,2,11,4,,0.5454545454545454,748,748,3.259907536014812,0.1480158770387669,7925,5800,9190,22476,2351,12,12,0,2460,0,-743,-3,-3,0,-275,0,0.0234430723183323,-581,-0.936354961688176,9940,-0.1116883116883117,-2,0
KR_7589381415,1,tOerYGF2DEr3v-pxaFly2wbkd1kKj5YMht9bvO4PeOmR5ULcX97LrJCDaThFCzHMYYl3K4h-Zfof-w,100,Akali,TOP,TOP,SOLO,9,4,2,,0.44,836,836,0.5582450143684744,0.2999936705235391,10052,9400,12511,24232,3461,79,79,0,4993,2,584,30,30,0,676,0,0.0861202778235097,-872,-0.1942899791106918,-404,0.2733333333333334,7,1
KR_7589381415,6,IDohDRdLRSKC2GlLpCgFCRZUElPVlVeiw5by0z4vmEwOif66BKfVTQoA_e3Kp8hMRG4vHx3e-lrLHQ,200,Vladimir,TOP,TOP,SOLO,2,5,2,,0.1666666666666666,1708,1708,0.7525349934791662,0.2138733927000293,7838,7250,12210,24636,2877,49,49,0,4317,2,-584,-30,-30,0,-676,0,-0.0861202778235097,872,0.1942899791106918,404,-0.2733333333333334,-7,0
KR_7589381415,2,QZtYupU3MN95L3X5waCuiMUaJOlekhn6fi1KI33N4fcRRw5M_SA8pGvziMBZDmTrgYwdBPkOprFzsg,100,Naafiri,JUNGLE,JUNGLE,NONE,4,3,10,,0.56,1806,1806,1.436450885261672,0.1550710505188044,10913,9150,12143,23885,3385,84,7,77,3991,0,-1017,25,2,23,27,-3,-0.0109082826407646,-259,0.4384879524668832,-395,0.0183333333333334,-5,1
KR_7589381415,7,j9XUxcTZ5X9rhd-vTK_ujWi_O_Iropxgr161B0F2Yf4tmZSTKUg4z4W4OBy7PI-Z6eGtDJ-_tkyk2w,200,Vi,JUNGLE,JUNGLE,NONE,9,3,4,,0.5416666666666666,2065,2065,0.9979629327947888,0.165979333159569,9561,9300,10932,24280,4402,59,5,54,3964,3,1017,-25,-2,-23,-27,3,0.0109082826407646,259,-0.4384879524668832,395,-0.0183333333333334,5,0
KR_7589381415,3,SwK9dfhLBhyVLvEd0UlkYo9EnmSjRDIH4fWolOh441ZucoyBZFRVgvBir1ePHUz3cF4nNQsRpizvgA,100,Aurora,MIDDLE,MIDDLE,SOLO,5,7,10,,0.6,2828,2828,0.6673706010915069,0.2706597444516305,9262,7300,12666,21681,2944,55,55,0,3959,1,-1063,-6,-6,0,-1446,-2,-0.0226601132673066,-405,0.2604637972020579,4006,0.1416666666666666,-3,1
KR_7589381415,8,VJMklQgjG2Hpfxs742RTcUuehjB710XCoC8zUxc7cYGiZeOqIazwFSk0kVyx4GT6vOCEl6e_P_aA9A,200,Neeko,MIDDLE,MIDDLE,SOLO,8,5,3,,0.4583333333333333,3233,3233,0.406906803889449,0.2933198577189371,9142,7950,12210,17675,4007,61,61,0,5405,3,1063,6,6,0,1446,2,0.0226601132673066,405,-0.2604637972020579,-4006,-0.1416666666666666,3,0
KR_7589381415,4,aMeL7Tu_gXZX-h52wzrv2vvDYOkfgszE99MrRqcq7YGEY_sCprp0TBV54sNvrDOlaFfWCfmECWUUsA,100,Lucian,BOTTOM,BOTTOM,CARRY,7,5,4,,0.44,4280,4280,0.5997405682983723,0.1858470699502262,9392,7875,11238,16493,3658,73,73,0,3348,1,170,-11,-11,0,-87,1,0.0255354333611331,582,0.1256144178076738,3068,0.19,3,1
KR_7589381415,9,k8HD1N8WNltLUF83m-BfD135Mpy0HUxAzYJT4NiwYgjE_LPDWGMiYkI72GzE8Cnuylw55pV7Z3LjUA,200,Tristana,BOTTOM,BOTTOM,CARRY,4,4,2,,0.25,3698,3698,0.4741261504906985,0.1603116365890931,9400,9175,9879,13425,3488,84,84,0,3435,0,-170,11,11,0,87,-1,-0.0255354333611331,-582,-0.1256144178076738,-3068,-0.19,-3,0
KR_7589381415,5,WZ3vnnU5MeKyalc9nll4bZbmVAAwJazZtpJGPbuZ1e6YBa_e3lzoZksV-BXE2MnPfuRMWMnVTQv27w,100,Lulu,UTILITY,BOTTOM,SUPPORT,0,5,18,,0.72,1487,1487,2.8222125328875465,0.0884284645557997,6492,6425,9159,11999,2507,12,12,0,2659,0,-155,0,0,0,40,0,-0.0780873152765717,1016,-0.0663810691609247,-6023,0.4283333333333333,-1,1
KR_7589381415,10,7hgj1hDF3pmE_rl9K-U0FU3PFBM2S7PTsAd9imkNvRoroJ0ULIkfxZJA_7adKH_xVippB28CA6MW2A,200,Camille,UTILITY,BOTTOM,SUPPORT,1,8,6,,0.2916666666666667,471,471,2.8885936020484713,0.1665157798323714,5666,5100,5835,18022,2662,12,12,0,2619,0,155,0,0,0,-40,0,0.0780873152765717,-1016,0.0663810691609247,6023,-0.4283333333333333,1,0
KR_7589669280,1,_2gy_DC46aRGaj02qVS4G6kbPavUSh8Sn3pwDFx-ww2bLq4f-g_5vFY1iFrAsDwciaOJlU4qab90Xg,100,Gwen,TOP,TOP,SOLO,12,4,12,,0.75,17026,17026,0.952035062257576,0.321183504537441,16474,14860,19516,38052,4099,90,90,0,5016,2,1350,30,31,-1,525,2,0.1475745051106204,12674,0.4131652076069244,4965,0.4772727272727273,8,1
KR_7589669280,6,wNaSXmdDjzdHYs1wY0GriC0octg-1hW_tH6KFtt_jq0AMF7avZwUOTnkzGTGslVShCioMrSJW2iUvQ,200,Irelia,TOP,TOP,SOLO,4,12,2,,0.2727272727272727,4352,4352,0.5388698546506515,0.1736089994268205,10241,10075,13404,33087,2749,60,59,1,4491,0,-1350,-30,-31,1,-525,-2,-0.1475745051106204,-12674,-0.4131652076069244,-4965,-0.4772727272727273,-8,0
KR_7589669280,2,ufzocU-R3CZJwJfVkszwQ6m9DlUHIxjOjOh9SlajNvFYCa90tWEGmRy7oUYWywo0x9NNc8fX14_gLw,100,Viego,JUNGLE,JUNGLE,NONE,14,4,11,,0.78125,2269,2269,1.2118050786900307,0.2242106520149538,15097,13383,16518,40148,3820,71,11,60,3458,0,-162,7,10,-3,-321,-1,0.0846560178999077,2166,0.2220297175116083,5534,0.0994318181818182,8,1
KR_7589669280,7,VOMkrFdii0o9enYqaxiU6Ui2pvZtTmLuxBZYU1egr-kBSqzniv75ctDzwMk40kqJUR-iTulXjEn3Aw,200,Vi,JUNGLE,JUNGLE,NONE,6,6,9,,0.6818181818181818,103,103,0.9897753611784224,0.1395546341150461,10844,10400,12488,34614,3982,64,1,63,3779,1,162,-7,-10,3,321,1,-0.0846560178999077,-2166,-0.2220297175116083,-5534,-0.0994318181818182,-8,0
KR_7589669280,3,QegbXOV2D4PoDb1sRj8wsF4vwBhid-JpS-wUB5YhprXPME42SiT63ulR5wD9ddYstVf2U473E_CxFw,100,Ahri,MIDDLE,MIDDLE,SOLO,3,4,11,,0.4375,1462,1462,0.9522888851165278,0.2049504347839702,10887,10475,16992,26710,3421,83,83,0,4785,0,-247,6,6,0,-93,0,-0.0496584193314871,-3407,0.1379226314395567,-20636,-0.1988636363636363,-3,1
KR_7589669280,8,AsP8SbZUJn516zDmdP5iZNuPnd1acy254SZwwa8WrIpsSXdx6hQwdyXa6-oxDvtFN-Zrp4O0ymiC4w,200,Sylas,MIDDLE,MIDDLE,SOLO,6,6,8,,0.6363636363636364,4869,4869,0.814366253676971,0.2546088541154573,11635,11475,16440,47346,3668,77,77,0,4878,0,247,-6,-6,0,93,0,0.0496584193314871,3407,-0.1379226314395567,20636,0.1988636363636363,3,0
KR_7589669280,4,hG12J4I_6M7eJpQLfRGGfknWJddd63KbySxP9aC9IRuJ_3FI-W_KXm96ZmlTcxqAHyZZygF09UGJZg,100,Kaisa,BOTTOM,BOTTOM,CARRY,3,7,15,,0.5625,5803,5803,1.0295849571632223,0.1812016593998378,12161,10950,14635,23975,3075,73,73,0,2882,0,-633,-18,-18,0,-447,0,-0.1729275844892568,1621,0.1012979319571965,2425,0.0625,-3,1
KR_7589669280,9,DXziv3Fwjc9n2YkTBbL_7Xp-d8sSsz5dppxXuK8kkoa93NhDK77JlJBlBl9qh6_XR7DtHZgIsUeobw,200,Ezreal,BOTTOM,BOTTOM,CARRY,6,4,5,,0.5,4182,4182,0.9282870252060258,0.3541292438890946,12314,11908,12048,21550,3708,91,91,0,3329,0,633,18,18,0,447,0,0.1729275844892568,-1621,-0.1012979319571965,-2425,-0.0625,3,0
KR_7589669280,5,p6wFP0lGKbSJhwuGDAbc4L3CV3Z8PGXnf5oREL8lqeJ9coZlU8xBAEmAWDfSluHWB6-cn-ZMVYRT4Q,100,Rakan,UTILITY,BOTTOM,SUPPORT,0,5,24,,0.75,2914,2914,2.875211143909013,0.068453749263797,7916,7425,11493,25870,2363,11,11,0,2916,0,-206,0,0,0,-106,0,-0.0096445191897843,2594,-0.2264247512289721,2738,0.159090909090909,0,1
KR_7589669280,10,xB-a9PvFmxU_vdqvfbBy5PzgGD3FY1tsz9ZnqJXE_UG1eVZWdPngxxRhs_PKdrKhPyLAvaWgx2dnBQ,200,Braum,UTILITY,BOTTOM,SUPPORT,0,4,13,,0.5909090909090909,320,320,3.101635895137985,0.0780982684535814,6972,6675,9029,23132,2569,11,11,0,3022,0,206,0,0,0,106,0,0.0096445191897843,-2594,0.2264247512289721,-2738,-0.159090909090909,0,0
KR_7589900300,1,cwWdLHPYwCoC_EZlbT_N2IHDssux-7MMBIbVkTVCmIfMKj70LRXOPFiWCE4TwwbNAh7BcUgYOGIZ8A,100,Darius,TOP,TOP,SOLO,8,8,10,,0.72,3365,3365,0.8765445524289223,0.2052913307716412,12895,12408,15454,40856,3091,72,72,0,4413,0,-321,5,5,0,-447,0,-0.0121999976203499,-8579,0.2321067551794909,-28381,0.1485714285714285,3,0
KR_7589900300,6,cTeVTiAx6G2WU1bZ7Go0U6YYB2DMud41PIBeEzAXMQ_k3Q78BMnZLKIPjU3i7s6glPiiyFqruXR0KA,200,DrMundo,TOP,TOP,SOLO,5,4,11,,0.5714285714285714,11944,11944,0.6444377972494313,0.2174913283919911,14136,12700,19631,69237,3412,67,67,0,4860,0,321,-5,-5,0,447,0,0.0121999976203499,8579,-0.2321067551794909,28381,-0.1485714285714285,-3,1
KR_7589900300,2,fp4g3t9KWpF9EHaF9Z2H9gPwdDqKyK5ZNjhiwvBppQQoYDQdtCvZzif3rCRj7DUIRjh_0KQT2m1Gsw,100,Vi,JUNGLE,JUNGLE,NONE,8,4,11,,0.76,0,0,1.754476802351286,0.1756635011932086,14410,13775,16302,39749,4395,87,11,76,4805,1,426,18,4,14,835,1,-0.013192719275013,-2173,0.7386901845127836,-967,0.1528571428571429,2,0
